tag;count;step_first;value_first;step_last;value_last;step_min;value_min;step_max;value_max;mean;median;std
Environment/Cumulative Reward;666;30000;-0,157194;19980000;8,817781;60000;-8,052102;15630000;9,463276;8,469051;8,741485;1,104313
Environment/Episode Length;666;30000;716,833313;19980000;193,928574;150000;143,237213;60000;1040,769287;218,410447;207,065689;58,617526
Environment/Lesson Number/corridor_width;666;30000;0,000000;19980000;5,000000;30000;0,000000;540000;5,000000;4,930931;5,000000;0,485617
Environment/Lesson Number/num_agents;666;30000;0,000000;19980000;5,000000;30000;0,000000;540000;5,000000;4,930931;5,000000;0,485617
Environment/Lesson Number/threat_active;666;30000;0,000000;19980000;1,000000;30000;0,000000;3330000;1,000000;0,834835;1,000000;0,371609
Losses/Policy Loss;484;60000;0,024841;19950000;0,024952;4170000;0,020692;1350000;0,029859;0,024724;0,024663;0,001673
Losses/Value Loss;484;60000;0,077805;19950000;0,163912;60000;0,077805;180000;0,672197;0,195106;0,179324;0,062646
Policy/Beta;484;60000;0,004990;19950000;0,000025;19950000;0,000025;60000;0,004990;0,002503;0,002503;0,001436
Policy/Entropy;666;30000;1,418938;19980000;1,089450;19890000;1,089440;30000;1,418938;1,179669;1,168410;0,073527
Policy/Epsilon;484;60000;0,199791;19950000;0,100293;19950000;0,100293;60000;0,199791;0,149969;0,149963;0,028780
Policy/Extrinsic Reward;666;30000;-0,157194;19980000;8,817781;60000;-8,052102;15630000;9,463276;8,469051;8,741485;1,104313
Policy/Extrinsic Value Estimate;666;30000;-0,067617;19980000;3,931448;30000;-0,067617;16980000;4,488277;3,647764;3,795035;0,639565
Policy/Learning Rate;484;60000;0,000299;19950000;0,000001;19950000;0,000001;60000;0,000299;0,000150;0,000150;0,000086
