step;Environment/Cumulative Reward;Environment/Episode Length;Environment/Lesson Number/corridor_width;Environment/Lesson Number/num_agents;Environment/Lesson Number/threat_active;Losses/Policy Loss;Losses/Value Loss;Policy/Beta;Policy/Entropy;Policy/Epsilon;Policy/Extrinsic Reward;Policy/Extrinsic Value Estimate;Policy/Learning Rate
30000;-0,157194;716,833313;0;0;0;;;;1,418938;;-0,157194;-0,067617;
60000;-8,052102;1040,769287;0;0;0;0,024841;0,077805;0,00499;1,417603;0,199791;-8,052102;0,044154;0,000299
90000;4,149469;409,25351;0;0;0;0,027387;0,374004;0,004979;1,414269;0,199585;4,149469;0,291381;0,000299
120000;6,64107;217,105637;1;1;0;;;;1,40482;;6,64107;0,648283;
150000;7,429039;143,237213;1;1;0;0,024654;0,503019;0,004969;1,391355;0,19938;7,429039;1,43372;0,000298
180000;5,515298;223,035965;2;2;0;0,023848;0,672197;0,004959;1,385521;0,199175;5,515298;0,799001;0,000298
210000;3,111553;389,089294;2;2;0;0,023678;0,277983;0,004949;1,37366;0,198968;3,111553;0,820385;0,000297
240000;5,654847;245,820007;2;2;0;;;;1,37279;;5,654847;1,186069;
270000;6,873979;181,560242;2;2;0;0,028327;0,341419;0,004938;1,363038;0,198763;6,873979;1,731487;0,000296
300000;7,121412;171,977142;3;3;0;0,022521;0,380207;0,004928;1,356648;0,198558;7,121412;1,777517;0,000296
330000;7,034373;214,050354;3;3;0;0,025416;0,294585;0,004918;1,353523;0,198352;7,034373;1,418031;0,000295
360000;5,903927;264,543854;3;3;0;;;;1,346775;;5,903927;1,280542;
390000;6,549879;236;4;4;0;0,021265;0,261375;0,004908;1,345247;0,198146;6,549879;1,968548;0,000294
420000;7,269854;238,028992;4;4;0;0,024177;0,306146;0,004897;1,343968;0,197942;7,269854;2,107653;0,000294
450000;7,591197;254,648651;4;4;0;;;;1,342403;;7,591197;1,779414;
480000;7,680767;300,323822;4;4;0;0,023987;0,220948;0,004887;1,338848;0,197736;7,680767;1,925766;0,000293
510000;6,754238;342,340912;4;4;0;0,024872;0,195066;0,004877;1,337875;0,19753;6,754238;1,649622;0,000293
540000;6,685905;366,305084;5;5;0;0,023326;0,185673;0,004865;1,337459;0,197301;6,685905;1,452413;0,000292
570000;6,282979;373,590912;5;5;0;;;;1,335104;;6,282979;1,502297;
600000;6,226844;377,909088;5;5;0;0,027248;0,112238;0,004854;1,33521;0,197073;6,226844;0,9187;0,000291
630000;6,955595;352,115936;5;5;0;0,025783;0,172816;0,004844;1,334171;0,196868;6,955595;2,445251;0,000291
660000;5,768209;392,285706;5;5;0;;;;1,330376;;5,768209;0,728546;
690000;5,95647;416,421051;5;5;0;0,023171;0,095635;0,004832;1,332218;0,196625;5,95647;0,931398;0,00029
720000;5,330191;433,079987;5;5;0;0,025437;0,225107;0,004821;1,332903;0,196419;5,330191;3,563109;0,000289
750000;5,33478;423,934967;5;5;0;;;;1,335301;;5,33478;3,330371;
780000;5,911885;389,787048;5;5;0;0,023346;0,293942;0,004811;1,331706;0,196214;5,911885;2,486707;0,000289
810000;6,259027;376,310822;5;5;0;0,02247;0,261455;0,004801;1,331768;0,196008;6,259027;2,131014;0,000288
840000;5,314095;420,604645;5;5;0;0,026486;0,210113;0,00479;1,334963;0,195801;5,314095;2,260506;0,000287
870000;6,538258;318,049286;5;5;0;;;;1,331843;;6,538258;3,398448;
900000;6,484328;334,598145;5;5;0;0,023652;0,294522;0,00478;1,327249;0,195596;6,484328;2,683197;0,000287
930000;7,453958;329,473114;5;5;0;0,023725;0,26932;0,00477;1,324366;0,195391;7,453958;2,511829;0,000286
960000;6,624818;373,416656;5;5;0;;;;1,321898;;6,624818;0,446961;
990000;6,661298;340,745087;5;5;0;0,026354;0,153598;0,00476;1,321465;0,195185;6,661298;2,811779;0,000286
1020000;6,751159;343,893799;5;5;0;0,026047;0,265566;0,004749;1,319871;0,19498;6,751159;2,869605;0,000285
1050000;6,258872;363,34906;5;5;0;0,024845;0,22614;0,004739;1,318261;0,194774;6,258872;2,572003;0,000284
1080000;5,826782;384,609741;5;5;0;;;;1,320529;;5,826782;2,371832;
1110000;4,819927;429,008606;5;5;0;0,023253;0,228592;0,004729;1,320526;0,194567;4,819927;2,919077;0,000284
1140000;6,312045;335,078949;5;5;0;0,025736;0,232656;0,004718;1,318396;0,19435;6,312045;2,458002;0,000283
1170000;5,50454;357,378387;5;5;0;;;;1,3155;;5,50454;3,047818;
1200000;6,710428;311,25235;5;5;0;0,025425;0,270055;0,004708;1,317363;0,194145;6,710428;2,762347;0,000282
1230000;6,329973;320,593414;5;5;0;0,028832;0,252343;0,004698;1,315046;0,193939;6,329973;2,509581;0,000282
1260000;6,603934;320,426483;5;5;0;0,026015;0,237458;0,004686;1,313341;0,193709;6,603934;2,327088;0,000281
1290000;6,012957;341,869568;5;5;0;;;;1,312853;;6,012957;1,075777;
1320000;6,21463;318,764709;5;5;0;0,023381;0,184766;0,004676;1,316178;0,193503;6,21463;3,402039;0,000281
1350000;6,004632;348,603607;5;5;0;0,029859;0,298622;0,004666;1,315883;0,193297;6,004632;2,604632;0,00028
1380000;5,856956;371,67569;5;5;0;;;;1,312289;;5,856956;1,126403;
1410000;6,834683;327,538452;5;5;0;0,027517;0,174846;0,004655;1,308632;0,193089;6,834683;2,973136;0,000279
1440000;8,011374;243,610382;5;5;0;0,023978;0,225267;0,004645;1,306136;0,192884;8,011374;3,243541;0,000279
1470000;8,413166;250,00769;5;5;0;0,022669;0,210045;0,004635;1,303359;0,192677;8,413166;3,033925;0,000278
1500000;7,92104;275,311462;5;5;0;;;;1,302289;;7,92104;2,985454;
1530000;8,365404;273,552643;5;5;0;0,023522;0,201797;0,004624;1,302734;0,192472;8,365404;2,898905;0,000277
1560000;8,03095;283,950623;5;5;0;0,02372;0,170987;0,004614;1,301676;0,192266;8,03095;2,543142;0,000277
1590000;7,352465;324,608246;5;5;0;0,023709;0,158278;0,004604;1,298339;0,19206;7,352465;2,704532;0,000276
1620000;6,838846;363,466675;5;5;0;;;;1,298207;;6,838846;2,453856;
1650000;8,095241;242,27272;5;5;0;0,024691;0,131656;0,004592;1,297358;0,191819;8,095241;2,318328;0,000275
1680000;7,902322;271,099304;5;5;0;0,025769;0,169454;0,004582;1,297264;0,191614;7,902322;3,52318;0,000275
1710000;7,397412;329,471558;5;5;0;;;;1,295994;;7,397412;3,126225;
1740000;7,817379;317,269562;5;5;0;0,027189;0,170035;0,004571;1,292385;0,191409;7,817379;2,929561;0,000274
1770000;7,910476;265,322021;5;5;0;0,024897;0,153008;0,004561;1,290072;0,191202;7,910476;3,077751;0,000274
1800000;8,030485;238,18103;5;5;0;;;;1,288019;;8,030485;3,271594;
1830000;7,804594;253,809921;5;5;0;0,024555;0,15293;0,004551;1,28701;0,190998;7,804594;3,265655;0,000273
1860000;7,861646;260,485992;5;5;0;0,022408;0,172847;0,00454;1,285173;0,19079;7,861646;3,1282;0,000272
1890000;7,622643;289,946442;5;5;0;0,023319;0,183411;0,00453;1,284661;0,190585;7,622643;2,942718;0,000272
1920000;7,595368;318,172424;5;5;0;;;;1,285591;;7,595368;2,62036;
1950000;8,270954;269,254395;5;5;0;0,023663;0,156903;0,00452;1,284937;0,190379;8,270954;2,959198;0,000271
1980000;7,983526;258,752289;5;5;0;0,024667;0,180377;0,00451;1,283889;0,190174;7,983526;2,97387;0,000271
2010000;8,411347;237,607849;5;5;0;0,026006;0,17095;0,004499;1,282017;0,189968;8,411347;3,192657;0,00027
2040000;7,718351;261,261688;5;5;0;;;;1,285344;;7,718351;3,198297;
2070000;7,422431;301,219299;5;5;0;0,026292;0,182445;0,004489;1,283788;0,189762;7,422431;3,13477;0,000269
2100000;6,387928;337,609985;5;5;0;0,021844;0,188982;0,004479;1,282523;0,189556;6,387928;2,761691;0,000269
2130000;7,038778;307,865967;5;5;0;;;;1,280997;;7,038778;3,210291;
2160000;7,525741;227,100006;5;5;0;0,022281;0,162983;0,004469;1,278136;0,189349;7,525741;2,297336;0,000268
2190000;7,546598;255,008133;5;5;0;0,024267;0,144977;0,004458;1,277105;0,189144;7,546598;3,748557;0,000267
2220000;7,400856;275,905121;5;5;0;0,024552;0,170069;0,004448;1,276869;0,188939;7,400856;3,871191;0,000267
2250000;7,561891;273,130127;5;5;0;;;;1,276724;;7,561891;3,73335;
2280000;8,549777;230,294968;5;5;0;0,027209;0,21091;0,004438;1,272904;0,188733;8,549777;3,645027;0,000266
2310000;8,533257;225,781952;5;5;0;0,029404;0,191313;0,004428;1,27187;0,188528;8,533257;3,620911;0,000266
2340000;8,130849;233;5;5;0;0,023465;0,213201;0,004417;1,271202;0,188322;8,130849;3,514234;0,000265
2370000;7,896556;269,618195;5;5;0;;;;1,271064;;7,896556;3,128002;
2400000;6,998147;293,485291;5;5;0;0,026014;0,2011;0,004407;1,270818;0,188114;6,998147;2,438178;0,000264
2430000;7,073343;325,658112;5;5;0;0,025149;0,185742;0,004397;1,270789;0,187907;7,073343;3,539715;0,000264
2460000;7,847348;255,300812;5;5;0;0,026859;0,209309;0,004386;1,270838;0,187702;7,847348;3,397814;0,000263
2490000;8,161634;221,226273;5;5;0;;;;1,267981;;8,161634;3,478079;
2520000;8,191669;238;5;5;0;0,024838;0,20044;0,004376;1,266638;0,187495;8,191669;3,172061;0,000262
2550000;8,18612;247,875;5;5;0;0,024772;0,181149;0,004366;1,265063;0,18729;8,18612;3,138808;0,000262
2580000;8,182593;251,957977;5;5;0;;;;1,26288;;8,182593;3,132922;
2610000;8,258599;250,554626;5;5;0;0,023865;0,190028;0,004355;1,264184;0,187084;8,258599;3,183447;0,000261
2640000;8,38248;253;5;5;0;0,021152;0,166499;0,004345;1,261175;0,186879;8,38248;3,168988;0,000261
2670000;7,888353;262,210541;5;5;0;0,026402;0,158189;0,004335;1,257625;0,186673;7,888353;3,178158;0,00026
2700000;7,92706;271,897736;5;5;0;;;;1,256944;;7,92706;2,801141;
2730000;7,712358;280,86087;5;5;0;0,022941;0,189535;0,004325;1,2576;0,186468;7,712358;3,218814;0,000259
2760000;8,259648;253,138214;5;5;0;0,028488;0,170658;0,004314;1,256598;0,186262;8,259648;3,263853;0,000259
2790000;8,711482;218,72464;5;5;0;0,026534;0,162421;0,004304;1,25542;0,186057;8,711482;3,423043;0,000258
2820000;8,582681;230,727936;5;5;0;;;;1,252805;;8,582681;3,44446;
2850000;8,192096;258,754242;5;5;0;0,02601;0,149951;0,004294;1,252652;0,18585;8,192096;3,137757;0,000258
2880000;8,180002;240,919357;5;5;0;0,025051;0,178386;0,004284;1,252378;0,185645;8,180002;3,463129;0,000257
2910000;8,252769;241,410263;5;5;0;;;;1,251833;;8,252769;3,485691;
2940000;8,483359;237,914062;5;5;0;0,024437;0,170832;0,004273;1,251101;0,185438;8,483359;3,516931;0,000256
